Model,Accuracy,AUC,Time
Logistic Regression,0.8071262587141751,0.7844308792305135,0.22921991348266602
Random Forest,0.7691711851278079,0.7527602261390091,4.484903573989868
KNN,0.7544539116963594,0.7459674221687856,0.020018577575683594
MLP (Neural Net),0.7273431448489543,0.7450356220101815,44.414236545562744
Decision Tree,0.7889233152594888,0.7247771226113428,0.40036439895629883
